acara_sml_id,school_name,school_sector,school_type,school_url,year_range,icsea,icsea_percentile,bottom_sea_quarter,lower_middle_sea_quarter,upper_middle_sea_quarter,top_sea_quarter,teaching_staff,full_time_equivalent_teaching_staff,non_teaching_staff,full_time_equivalent_non_teaching_staff,total_enrolments,girls_enrolments,boys_enrolments,full_time_equivalent_enrolments,indigenous_enrolments,language_background_other_than_english_yes,language_background_other_than_english_no,language_background_other_than_english_not_stated,latitude,longitude,lga_code
48135,Kalamunda Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4027,7-12,1023.0,58.0,25.0,35.0,24.0,16.0,95.0,81.8,42.0,34.0,1189.0,664.0,525.0,1189.0,3.0,10.0,90.0,0.0,-31.97841597,116.0588438,54200
48136,Katanning Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4028,7-12,895.0,9.0,59.0,28.0,10.0,2.0,31.0,31.0,21.0,18.1,313.0,144.0,169.0,313.0,25.0,25.0,48.0,27.0,-33.68261,117.56833,54340
48137,Kent Street Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4029,7-12,1025.0,58.0,22.0,30.0,29.0,19.0,75.0,67.8,37.0,26.3,1029.0,419.0,610.0,1029.0,7.0,21.0,76.0,3.0,-31.98533,115.89328,58510
48138,Gilmore College,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4031,7-12,905.0,10.0,70.0,22.0,7.0,1.0,91.0,87.0,36.0,29.4,1227.0,580.0,647.0,1227.0,15.0,28.0,72.0,0.0,-32.23769,115.81534,54830
48139,Manjimup Senior High School,Government,Secondary,http://manjimupshs.wa.edu.au/,7-12,982.0,38.0,39.0,33.0,19.0,9.0,47.0,43.7,29.0,24.5,574.0,276.0,298.0,574.0,6.0,4.0,95.0,1.0,-34.23444,116.1338,55180
48140,Margaret River Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4033,7-12,1040.0,66.0,18.0,31.0,32.0,20.0,81.0,72.4,40.0,29.5,1105.0,548.0,557.0,1105.0,3.0,5.0,95.0,0.0,-33.959932,115.073545,50280
48141,Melville Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4034,7-12,1060.0,73.0,14.0,26.0,32.0,28.0,119.0,103.3,56.0,41.6,1399.0,661.0,738.0,1399.0,4.0,32.0,44.0,23.0,-32.04672,115.8046,55320
48143,Dianella Secondary College,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4036,7-12,928.0,16.0,62.0,24.0,12.0,2.0,50.0,45.9,27.0,19.4,558.0,270.0,288.0,558.0,6.0,66.0,34.0,0.0,-31.87763059,115.8536258,57910
48144,Mount Lawley Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4038,7-12,1100.0,85.0,6.0,17.0,33.0,43.0,133.0,124.9,59.0,41.0,1919.0,972.0,947.0,1919.0,2.0,36.0,64.0,0.0,-31.921698,115.870796,57910
48145,Narrogin Senior High School,Government,Secondary,http://www.nshs.edu.wa.au,7-12,953.0,25.0,42.0,31.0,20.0,7.0,56.0,53.9,34.0,26.6,644.0,348.0,296.0,644.0,17.0,21.0,77.0,1.0,-32.93742,117.19032,56460
48146,Newton Moore Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4040,7-12,917.0,13.0,60.0,25.0,12.0,3.0,57.0,53.5,33.0,26.5,629.0,284.0,345.0,628.6,21.0,9.0,10.0,82.0,-33.36018,115.63407,51190
48147,Northam Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4041,7-12,911.0,12.0,59.0,27.0,11.0,3.0,53.0,50.8,35.0,32.1,637.0,313.0,324.0,636.2,25.0,6.0,94.0,0.0,-31.64772717,116.667809,56730
48148,Perth Modern School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4042,7-12,1237.0,99.0,1.0,3.0,10.0,86.0,111.0,95.3,28.0,22.9,1440.0,627.0,813.0,1440.0,0.0,54.0,42.0,3.0,-31.94522949,115.8374242,57980
48149,Pinjarra Senior High School,Government,Secondary,https://www.pinjarrashs.wa.edu.au/,7-12,959.0,27.0,49.0,34.0,14.0,3.0,63.0,56.5,28.0,22.7,737.0,387.0,350.0,737.0,9.0,4.0,96.0,0.0,-32.63306,115.87207,56230
48151,Rossmoyne Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4048,7-12,1128.0,92.0,3.0,12.0,30.0,55.0,169.0,153.7,46.0,40.0,2382.0,1215.0,1167.0,2382.0,0.0,62.0,38.0,0.0,-32.04546,115.869625,55320
48152,Como Secondary College,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4049,7-12,1080.0,80.0,10.0,21.0,33.0,36.0,66.0,59.8,26.0,20.6,816.0,379.0,437.0,816.0,3.0,37.0,10.0,54.0,-32.00338632,115.869796,57840
48153,Balga Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4050,7-12,878.0,6.0,74.0,17.0,7.0,2.0,58.0,52.7,56.0,44.8,534.0,240.0,294.0,534.0,20.0,62.0,37.0,0.0,-31.85174717,115.8454908,57910
