lga_name,lga_code,afghanistan,australia,bangladesh,bosnia_and_herzegovina,cambodia,canada,chile,china,croatia,egypt,england,fiji,france,germany,greece,hong_kong,india,indonesia,iran,iraq,ireland,italy,japan,south_korea,lebanon,malaysia,malta,mauritius,myanmar,nepal,netherlands,new_zealand,northern_ireland,pakistan,papua_new_guinea,philippines,poland,scotland,singapore,south_africa,south_eastern_europe,sri_lanka,taiwan,thailand,north_macedonia,turkey,united_states_of_america,vietnam,wales,zimbabwe
Kojonup,54550,0.0,88.32560834298957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08690614136732329,3.476245654692932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17381228273464658,0.17381228273464658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7531865585168018,5.069524913093859,0.0,0.08690614136732329,0.0,0.9849362688296639,0.08690614136732329,0.2317497103128621,0.08690614136732329,0.11587485515643105,0.0,0.0,0.08690614136732329,0.08690614136732329,0.0,0.0,0.17381228273464658,0.0,0.0,0.0
Kondinin,54620,0.0,40.13809666766737,0.24016811768237767,0.0,0.0,0.18012608826178325,0.0,0.0,0.0,0.0,1.140798558991294,0.0,0.0,0.0,0.0,0.0,0.09006304413089163,0.18012608826178325,0.0,0.0,0.0,0.18012608826178325,0.0,0.0,0.0,0.0,0.0,0.12008405884118883,2.461723206244371,4.232963074151906,4.202942059441609,8.70609426598619,0.6904833383368358,0.6304413089162414,0.990693485439808,11.73821675172621,1.7712398679075352,5.673971780246172,1.7712398679075352,4.172921044731312,0.21014710297208045,1.9213449414590213,0.6304413089162414,1.6811768237766436,0.0,0.0,3.5725007505253674,1.5610927649354547,0.48033623536475534,0.6304413089162414
Koorda,54690,0.0,55.1980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.557755775577558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49504950495049505,0.0,0.0,0.0,0.0,3.3003300330033,8.828382838283828,0.0,0.7425742574257426,0.6600660066006601,6.188118811881188,0.7425742574257426,3.7128712871287126,1.155115511551155,5.198019801980198,0.0,0.9900990099009901,1.2376237623762376,5.9405940594059405,0.0,0.0,3.052805280528053,0.0,0.0,0.0
Kulin,54760,0.0,35.56555993247046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8851997749015192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16882386043894204,0.16882386043894204,0.0,0.0,0.0,0.0,0.0,0.0,0.4220596510973551,0.11254924029262803,0.25323579065841306,31.9358469330332,0.3376477208778841,0.39392234102419804,2.4479459763646596,10.917276308384919,0.4501969611705121,1.8570624648283625,0.28137310073157007,8.413055711873945,0.08441193021947102,0.6471581316826112,0.28137310073157007,2.5323579065841306,0.0,0.0,0.6752954417557682,0.0,0.0,0.16882386043894204
Kwinana,54830,0.10879419764279238,62.89141502196806,0.15761210684148128,0.07950345212357905,0.022316758490829206,0.22735197712532257,0.18829764976637142,0.7099518794895041,0.24548434339912129,0.027895948113536507,8.02705906967013,0.12553176651091427,0.06276588325545714,0.4003068554292489,0.0,0.12971615872794479,3.579050142966734,0.34730455401352955,0.16877048608689588,0.05300230141571936,0.4100704372689867,0.25943231745588957,0.1143733872654997,0.2943022525978102,0.03208034033056699,0.743427017225748,0.029290745519213335,0.12971615872794479,0.09484622358602414,0.09066183136899365,0.23851035637073714,5.00453309156845,0.08926703396331682,0.23153636934235303,0.11995257688820699,2.355812818188158,0.3026710370318711,1.9917706953065069,2.3390752493200364,2.8621242764488457,0.1269265639165911,0.7699281679336076,0.4672571309017365,0.49096868679824257,0.043238719575981584,0.06276588325545714,0.7838761419903759,0.5453657856196388,0.503521863449334,0.9205662877467049
Lake Grace,54900,0.0,91.41414141414141,0.0,0.0,0.0,0.0,0.0,0.4132231404958678,0.13774104683195593,0.0,3.8567493112947657,0.0,0.0,0.0,0.0,0.0,0.13774104683195593,0.0,0.0,0.0,0.13774104683195593,0.0,0.0,0.0,0.13774104683195593,0.0,0.0,0.0,0.0,0.0,0.27548209366391185,2.7548209366391188,0.0,0.0,0.0,0.3673094582185491,0.0,0.0,0.0,0.3673094582185491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melville,55320,0.03802371729366192,70.80432044487749,0.1099123078019915,0.091494569737874,0.00950592932341548,0.34756054088737853,0.11822999595998004,2.0592219396848783,0.24774828299151597,0.13961833693766487,8.061028066256327,0.05703557594049288,0.21744813327312912,0.5293614391976995,0.08852396682430666,0.7723567575275079,2.060410180850305,1.7104731576320729,0.6357090235034103,0.13724185460681101,0.7664155517003731,1.057534637229972,0.3249839587442667,0.6250148530145678,0.08198864041445852,3.7483067563392667,0.035053114380094584,0.11822999595998004,0.12773592528339553,0.04337080253808313,0.35706647021079396,1.6575964257705744,0.15863019558449584,0.09030632857244707,0.017229496898690556,0.16575964257705744,0.047529646617077405,0.36835476128234984,0.4158844078994273,0.4972789277311723,0.017823617481404028,0.146153663347513,0.07426507283918345,0.05168849069607167,0.003564723496280805,0.011288291071555883,0.1663537631597709,0.17051260723876518,0.16397728082891705,0.2548777299840776
Ngaanyatjarraku,56620,0.0,90.79154840744245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47303689687795647,0.0,0.0,0.1892147587511826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3468937243771681,3.7842951750236518,0.0946073793755913,0.0,0.0946073793755913,0.8199306212551246,0.0,1.4821822768842636,0.0946073793755913,0.8830022075055187,0.0,0.0,0.0,0.22075055187637968,0.0,0.0,0.7253232418795332,0.0,0.0,0.0
Northam,56730,0.633659112877242,83.13285361400494,0.39737944366877886,0.0644399097841263,0.0,0.08054988723015788,0.0,0.2738696165825368,0.03221995489206315,0.06980990226613683,6.911180324347546,0.03221995489206315,0.0,0.8001288798195682,0.0214799699280421,0.0,0.9343786918698314,0.1449897970142842,0.49403930834496834,0.1503597894962947,0.2577596391365052,0.1933197293523789,0.0,0.07517989474814735,0.03221995489206315,0.2577596391365052,0.03221995489206315,0.03758994737407367,0.26849962410052625,0.03221995489206315,0.41885941359682094,2.4863065191708733,0.0,0.1073998496402105,0.016109977446031574,0.5208892707550209,0.016109977446031574,0.1073998496402105,0.0429599398560842,0.20405971431639996,0.0,0.18257974438835786,0.0,0.0,0.0,0.0,0.0644399097841263,0.3007195789925894,0.03221995489206315,0.13961980453227366
Northampton,56790,0.0,34.38100466648367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4499039253362613,0.0,0.020587427944002198,0.08234971177600879,0.0,0.0,0.041174855888004395,0.0,0.0,0.0,0.041174855888004395,0.020587427944002198,0.0,0.0,0.0,0.04803733186933846,0.0,1.2901454844908042,5.551743068899259,0.5284106505627231,1.6881690914081802,13.320065879769421,0.5901729343947296,2.703815536645622,0.5558605544880593,10.931924238265166,0.6725226461707384,3.2665385671150147,6.087016195443316,6.189953335163327,0.3568487510293714,3.520450178424375,1.6264068075761733,2.8547900082349713,0.041174855888004395,0.418611034861378,0.7205599780400769,0.0,0.0,0.0
Laverton,54970,0.0,47.37545971247074,0.0,0.0,0.0,0.10030090270812438,0.0,0.0,0.0,0.0,2.5409562019391507,0.0,0.0,0.10030090270812438,0.0,0.0,0.0,0.0,0.0,0.0,0.4012036108324975,0.0,0.0,0.0,0.0,0.0,0.0,0.26746907388833163,0.3343363423604146,0.10030090270812438,1.3707790036776997,17.251755265797392,0.5349381477766633,0.43463724506853896,0.13373453694416582,9.996656636576395,0.2340354396522902,3.8783015713808093,0.43463724506853896,9.294550317619525,0.10030090270812438,0.5683717820127048,0.4680708793045804,2.6078234704112337,0.10030090270812438,0.0,1.170177198261451,0.0,0.0,0.20060180541624875
Subiaco,57980,0.04813332932222256,61.7670948527421,0.2647333112722241,0.10829999097500076,0.045124996239583645,0.7430582714118107,0.11732499022291748,5.195391233717397,0.10529165789236183,0.06919166090069492,9.319815890015343,0.0300833308263891,0.8423332631388947,0.6257332811888932,0.045124996239583645,0.6407749466020878,1.9794831683764027,0.9536415871965344,0.4813332932222256,0.22863331428055714,1.2063415661382029,0.6558166120152823,0.8032249330645889,0.601666616527782,0.03609999699166692,2.5239914563340453,0.0,0.11732499022291748,0.13537498871875095,0.10228332480972294,0.4602749616437532,1.567341536054872,0.13537498871875095,0.35197497066875244,0.0601666616527782,0.35799163683403024,0.20757498270208477,1.064949911254174,1.395866550344454,1.2544748954604252,0.17448331879305676,0.3640083029993081,0.23464998044583496,0.25871664510694625,0.01804999849583346,0.0631749947354171,1.001774916518757,0.598658283445143,0.2466833127763906,0.3910833007430583
Leonora,55040,0.0,11.608492263404102,0.0,0.0,0.0,0.021590500179920834,0.0,0.0,0.0,0.0,0.4318100035984167,0.10075566750629722,0.0,0.04318100035984167,0.0,0.0,0.057574667146455566,0.0,0.0,0.0,0.07916516732637639,0.0,0.0,0.0,0.0,0.04318100035984167,0.0,0.0,0.4534005037783375,0.0,0.04318100035984167,1.576106513134221,0.0,0.0,0.6117308384310903,18.841309823677584,2.706009355883411,8.945663907880533,4.620367038503058,14.739114789492625,1.1083123425692696,3.3033465275278875,0.640518172004318,3.4976610291471752,1.453760345448003,0.20151133501259444,2.410939186757827,14.667146455559553,1.561712846347607,6.232457718603814
Mandurah,55110,0.02168303735987337,76.45077589135353,0.04336607471974674,0.016623661975902915,0.028187948567835384,0.20526608700680124,0.03830669933577629,0.2587509124944889,0.07878170240753991,0.04914821801571298,13.247613058970634,0.0411977709837594,0.06288080834363277,0.47919512565320155,0.026742412743843827,0.06866295163959901,0.8246781875871838,0.23634510722261975,0.1272071525112571,0.004336607471974675,0.6504911207962012,0.3122357379821765,0.07299955911157369,0.12648438459926134,0.0,0.28477055732633694,0.035415627687793175,0.05926696878365388,0.06288080834363277,0.040475003071763625,0.4661853032372775,3.4916917828516087,0.13660313536720226,0.06432634416762434,0.02168303735987337,0.22261251689469994,0.028187948567835384,0.36644333138185997,0.03975223515976785,0.45606655246933653,0.005782143295966232,0.04264330680775096,0.00867321494394935,0.045534378455734076,0.003613839559978895,0.0,0.09901920394342174,0.050593753839704526,0.2818794856783538,0.21393930195075062
Manjimup,55180,0.48421460391245397,66.66666666666666,0.0,0.029052876234747237,0.0,0.11621150493898895,0.0,0.0726321905868681,0.0,0.0,4.8469881851636645,0.029052876234747237,0.10652721286073988,0.34379236877784236,0.19852798760410612,0.04357931435212086,0.2082122796823552,0.04357931435212086,0.0,0.0,0.15494867325198527,0.8570598489250436,0.0,0.014526438117373619,0.0,0.12589579701723805,0.029052876234747237,0.0,0.03873716831299632,0.0,0.2905287623474724,1.041061398411776,0.01936858415649816,0.0,0.33410807669959325,4.10613984117761,0.45031958163858227,5.069726902963393,0.6197946930079411,6.406159209761767,0.04357931435212086,0.6246368390470656,0.1452643811737362,1.3509587449157467,0.08715862870424172,0.0,1.2976951384853768,0.3534766608560914,1.9223319775324426,1.4284330815417392
